0,63,32
2.8125,63,33
5.625,63,35
8.4375,63,36
11.25,63,38
14.0625,62,39
16.875,62,40
19.6875,61,42
22.5,61,43
25.3125,60,45
28.125,60,46
30.9375,59,47
33.75,58,48
36.5625,57,49
39.375,56,51
42.1875,55,52
45,54,53
47.8125,53,54
50.625,52,55
53.4375,51,56
56.25,50,56
59.0625,48,57
61.875,47,58
64.6875,46,58
67.5,44,59
70.3125,43,60
73.125,42,60
75.9375,40,60
78.75,39,61
81.5625,37,61
84.375,36,61
87.1875,34,61
90,33,61
92.8125,1,61
95.625,3,61
98.4375,4,61
101.25,6,61
104.0625,7,60
106.875,8,60
109.6875,10,60
112.5,11,59
115.3125,13,58
118.125,14,58
120.9375,15,57
123.75,17,56
126.5625,18,56
129.375,19,55
132.1875,20,54
135,22,53
137.8125,23,52
140.625,24,51
143.4375,25,49
146.25,25,48
149.0625,26,47
151.875,27,46
154.6875,28,45
157.5,28,43
160.3125,29,42
163.125,30,40
165.9375,30,39
168.75,30,38
171.5625,31,36
174.375,31,35
177.1875,31,33
180,31,32
182.8125,31,1
185.625,31,3
188.4375,31,4
191.25,31,6
194.0625,30,7
196.875,30,8
199.6875,29,10
202.5,29,11
205.3125,28,13
208.125,28,14
210.9375,27,15
213.75,26,16
216.5625,25,17
219.375,24,19
222.1875,23,20
225,22,21
227.8125,21,22
230.625,20,23
233.4375,19,24
236.25,18,24
239.0625,16,25
241.875,15,26
244.6875,14,26
247.5,12,27
250.3125,11,28
253.125,10,28
255.9375,8,28
258.75,7,29
261.5625,5,29
264.375,4,29
267.1875,2,29
270,1,29
272.8125,33,29
275.625,35,29
278.4375,36,29
281.25,38,29
284.0625,39,28
286.875,40,28
289.6875,42,28
292.5,43,27
295.3125,45,26
298.125,46,26
300.9375,47,25
303.75,49,24
306.5625,50,24
309.375,51,23
312.1875,52,22
315,54,21
317.8125,55,20
320.625,56,19
323.4375,57,17
326.25,57,16
329.0625,58,15
331.875,59,14
334.6875,60,13
337.5,60,11
340.3125,61,10
343.125,62,8
345.9375,62,7
348.75,62,6
351.5625,63,4
354.375,63,3
357.1875,63,1
